0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0.04153846153846154,0.023076923076923078,0.038461538461538464,0.04153846153846154,0.038461538461538464,0.026153846153846153,0.04461538461538461,0.046153846153846156,0,0.021538461538461538,0.03230769230769231,0.06307692307692307,0.055384615384615386,0.04,0.036923076923076927,0.04461538461538461,0.06923076923076923,0.038461538461538464,0.02923076923076923,0.05076923076923077,0.06307692307692307,0.03076923076923077,0.03538461538461538,0.05076923076923077,0.038461538461538464
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0;0.026068821689259645,0.09280500521376434,0.051094890510948905,0.027111574556830033,0.03232533889468196,0.05213764337851929,0.04171011470281543,0.07507820646506778,0,0.026068821689259645,0.05213764337851929,0.10010427528675704,0.05526590198123045,0.01251303441084463,0.06047966631908238,0.021897810218978103,0,0.04171011470281543,0.01564129301355579,0.01564129301355579,0.072992700729927,0.04171011470281543,0.03753910323253389,0.021897810218978103,0.026068821689259645
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0.029166666666666667,0.02847222222222222,0.049305555555555554,0.04861111111111111,0.06180555555555556,0.04375,0.050694444444444445,0.07361111111111111,0,0.04722222222222222,0.050694444444444445,0,0.08888888888888889,0.029861111111111113,0.02847222222222222,0.050694444444444445,0,0.044444444444444446,0.0375,0.04652777777777778,0.04236111111111111,0.027777777777777776,0.04652777777777778,0.04513888888888889,0.02847222222222222
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0;0.01107011070110701,0.025830258302583026,0.02319451765946231,0.05324196099103848,0.017923036373220874,0.04059040590405904,0.02635740643120717,0.44754876120189774,0,0.023721665788086453,0.03953610964681075,0,0,0.02635740643120717,0.020031628887717447,0.012124406958355299,0,0.024775962045334738,0.02214022140221402,0.027411702688455455,0.045861887190300474,0.04691618344754876,0.012651555086979441,0.030574591460200317,0.02214022140221402
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0.04070863173765549,0.02412363362231436,0.029023746701846966,0.03807010931021485,0.08970976253298153,0.033169996230682244,0.04221635883905013,0,0,0.1394647568790049,0.08970976253298153,0,0,0.05955522050508858,0.03505465510742556,0.10591782887297399,0,0.02977761025254429,0.02977761025254429,0.03241613267998492,0.055408970976253295,0.03580851865812288,0.02977761025254429,0.02977761025254429,0.030531473803241612
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0;0.007985803016858917,0.01774622892635315,0.010056196391600119,0.01774622892635315,0.6089914226560189,0.008873114463176575,0.013013901212658977,0,0,0,0.011830819284235433,0,0,0.06625258799171843,0.023070097604259095,0.020999704229517895,0,0.028689736764270925,0.022478556640047324,0.01715468796214138,0.025140490979000295,0.024844720496894408,0.03253475303164744,0.026323572907423837,0.01626737651582372
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0.042704626334519574,0.03416370106761566,0.054567022538552785,0.042704626334519574,0,0.08090154211150652,0.05338078291814947,0,0,0,0.14400948991696322,0,0,0.03416370106761566,0.05148279952550415,0.12313167259786477,0,0.03416370106761566,0.04151838671411625,0.04151838671411625,0.05338078291814947,0.04033214709371293,0.032977461447212336,0.05338078291814947,0.04151838671411625
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0;0.024897119341563786,0.04279835390946502,0.02633744855967078,0.013374485596707819,0,0.03621399176954732,0.05473251028806585,0,0,0,0,0,0,0.017078189300411523,0.01748971193415638,0.5948559670781893,0,0.020370370370370372,0.01440329218106996,0.01131687242798354,0.022222222222222223,0.04279835390946502,0.016872427983539096,0.021810699588477367,0.02242798353909465
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0;0.05709342560553633,0.020761245674740483,0.04671280276816609,0.010380622837370242,0.025951557093425604,0.04498269896193772,0.029411764705882353,0.0328719723183391,0.08996539792387544,0.029411764705882353,0.050173010380622836,0.07958477508650519,0.0726643598615917,0.02249134948096886,0.058823529411764705,0.012110726643598616,0.07958477508650519,0.06747404844290658,0.05190311418685121,0.03633217993079585,0.01903114186851211,0.005190311418685121,0.02249134948096886,0.0034602076124567475,0.031141868512110725
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0.0364963503649635,0.040875912408759124,0.040875912408759124,0.042335766423357665,0.03941605839416058,0.043795620437956206,0.05401459854014599,0.05401459854014599,0,0.033576642335766425,0.04525547445255475,0.05401459854014599,0.042335766423357665,0.04671532846715328,0.030656934306569343,0.0364963503649635,0.05693430656934306,0.049635036496350364,0.02335766423357664,0.03795620437956204,0.03795620437956204,0.040875912408759124,0.033576642335766425,0.03941605839416058,0.03941605839416058
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0;0.012474012474012475,0.0498960498960499,0.0550935550935551,0.028066528066528068,0.07276507276507277,0.04885654885654886,0.09251559251559252,0.0893970893970894,0,0.02702702702702703,0.038461538461538464,0,0.05197505197505198,0.02390852390852391,0.02598752598752599,0.060291060291060294,0.058212058212058215,0.029106029106029108,0.016632016632016633,0.009355509355509356,0.07172557172557173,0.07380457380457381,0.02598752598752599,0.015592515592515593,0.02286902286902287
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0.025510204081632654,0.03134110787172012,0.053206997084548104,0.038629737609329445,0.07653061224489796,0.04446064139941691,0,0.15160349854227406,0,0.053206997084548104,0.03717201166180758,0,0.026239067055393587,0.05830903790087463,0.02696793002915452,0.03498542274052478,0.03134110787172012,0.04664723032069971,0.03717201166180758,0.026239067055393587,0.05393586005830904,0.04664723032069971,0.03279883381924198,0.026239067055393587,0.04081632653061224
